Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
240,Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,keybr01
241,Corey Kispert,SF,23,WAS,14,9,26.1,3.2,6.2,.517,1.6,3.7,.423,1.6,2.5,.657,.644,1.0,1.4,.737,0.5,1.7,2.2,1.8,0.6,0.1,0.7,1.3,9.0,kispeco01
242,Maxi Kleber,C,31,DAL,17,0,25.4,1.9,4.3,.452,0.8,2.6,.311,1.1,1.6,.679,.548,0.6,0.8,.786,0.8,2.8,3.5,1.1,0.4,0.9,0.6,2.1,5.4,klebima01
243,Nathan Knight,PF,25,MIN,9,0,2.7,0.1,0.3,.333,0.0,0.1,.000,0.1,0.2,.500,.333,0.3,0.6,.600,0.0,0.7,0.7,0.0,0.3,0.0,0.2,0.2,0.6,knighna01
244,Kevin Knox,SF,23,DET,17,0,13.4,1.8,4.1,.443,0.9,2.6,.333,0.9,1.5,.640,.550,0.4,0.5,.667,0.5,1.8,2.2,0.4,0.4,0.4,0.5,1.5,4.9,knoxke01
245,Christian Koloko,C,22,TOR,21,9,16.5,1.4,3.0,.469,0.0,0.2,.000,1.4,2.9,.500,.469,1.1,1.7,.639,1.7,1.7,3.4,0.4,0.2,1.2,0.6,2.9,4.0,kolokch01
246,John Konchar,SG,26,MEM,20,12,27.5,3.1,6.6,.473,1.7,4.2,.410,1.4,2.4,.583,.603,0.5,0.6,.909,1.5,5.1,6.6,1.6,1.0,0.4,0.8,1.8,8.4,konchjo01
247,Furkan Korkmaz,SG,25,PHI,11,0,12.9,1.7,4.1,.422,0.7,2.1,.348,1.0,2.0,.500,.511,1.1,1.4,.800,0.4,1.0,1.4,1.0,0.3,0.2,0.7,0.6,5.3,korkmfu01
248,Luke Kornet,C,27,BOS,17,0,13.7,1.9,2.8,.681,0.1,0.3,.400,1.8,2.5,.714,.702,0.8,0.9,.933,1.3,2.5,3.8,0.9,0.1,1.1,0.5,1.8,4.7,kornelu01
249,Vit Krejci,PG,22,ATL,9,0,4.3,0.4,1.0,.444,0.3,0.9,.375,0.1,0.1,1.000,.611,0.0,0.0,,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.7,1.2,krejcvi01
250,Jonathan Kuminga,PF,20,GSW,18,2,15.7,2.2,5.1,.424,0.5,2.0,.250,1.7,3.1,.536,.473,1.0,1.3,.750,0.9,2.1,2.9,0.8,0.3,0.6,1.3,1.8,5.8,kuminjo01
251,Kyle Kuzma,PF,27,WAS,21,21,34.7,7.8,17.0,.459,2.3,7.4,.310,5.5,9.6,.574,.527,2.7,3.7,.731,1.0,6.9,7.9,3.6,0.3,0.4,2.4,2.6,20.6,kuzmaky01
252,Anthony Lamb,SF,25,GSW,14,2,18.2,2.4,4.4,.557,1.2,2.8,.436,1.2,1.6,.773,.697,0.1,0.1,1.000,0.8,2.7,3.5,1.6,0.7,0.1,1.1,2.4,6.1,lamban01
253,Jock Landale,C,27,PHO,18,0,13.4,2.6,4.9,.517,0.2,1.5,.111,2.4,3.4,.694,.534,1.4,1.7,.806,1.4,2.2,3.6,0.8,0.3,0.7,0.8,2.2,6.7,landajo01
254,Romeo Langford,SG,23,SAS,11,2,18.6,2.3,5.1,.446,0.3,1.5,.188,2.0,3.6,.550,.473,0.5,0.9,.600,1.8,1.0,2.8,0.8,0.6,0.4,0.9,1.6,5.4,langfro01
255,Jake LaRavia,PF,21,MEM,16,0,18.4,1.8,4.4,.414,1.2,3.1,.388,0.6,1.3,.476,.550,0.3,0.3,1.000,0.8,2.3,3.1,1.0,0.6,0.2,0.9,2.1,5.1,laravja01
256,Zach LaVine,SG,27,CHI,17,17,34.1,7.2,17.8,.407,2.8,8.1,.348,4.4,9.6,.457,.487,3.6,4.4,.827,0.7,3.5,4.2,4.4,1.1,0.1,2.1,2.4,20.9,lavinza01
257,A.J. Lawson,SG,22,MIN,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,lawsoaj01
258,Damion Lee,SG,30,PHO,21,0,21.0,2.7,5.9,.460,2.0,4.0,.494,0.8,2.0,.390,.625,0.9,1.0,.905,0.7,2.8,3.4,1.3,0.4,0.0,0.7,1.6,8.3,leeda03
259,Saben Lee,PG,23,PHI,2,0,5.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0,leesa01
260,Alex Len,C,29,SAC,6,0,3.3,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.2,0.3,.500,0.5,0.8,1.3,0.2,0.0,0.0,0.0,0.5,1.5,lenal01
261,Kawhi Leonard,SF,31,LAC,5,3,22.4,3.8,9.0,.422,0.4,3.0,.133,3.4,6.0,.567,.444,2.0,2.6,.769,0.8,3.2,4.0,3.4,0.6,0.2,1.0,1.4,10.0,leonaka01
262,Caris LeVert,SG,28,CLE,18,14,32.1,4.1,10.7,.378,1.6,4.2,.387,2.4,6.6,.373,.453,2.2,2.8,.784,1.1,3.6,4.7,4.7,0.7,0.1,1.8,2.3,11.9,leverca01
263,Damian Lillard,PG,32,POR,11,11,35.2,7.6,18.1,.422,3.4,10.1,.333,4.3,8.0,.534,.515,7.6,8.7,.875,0.9,3.4,4.3,7.0,0.5,0.3,3.8,1.6,26.3,lillada01
264,Nassir Little,PF,22,POR,21,0,15.3,2.0,4.3,.473,0.8,2.0,.372,1.3,2.3,.563,.560,0.7,1.0,.667,0.3,2.0,2.4,0.9,0.4,0.1,0.7,0.8,5.5,littlna01
265,Isaiah Livers,PF,24,DET,22,7,19.5,1.9,4.7,.404,1.3,3.7,.358,0.6,1.0,.565,.543,0.7,0.9,.750,0.5,1.8,2.3,0.6,0.4,0.5,0.6,1.9,5.8,liveris01
266,Kenneth Lofton Jr.,PF,20,MEM,4,0,4.8,1.3,3.0,.417,0.0,0.3,.000,1.3,2.8,.455,.417,0.3,0.8,.333,0.3,0.5,0.8,0.8,0.0,0.0,0.3,0.8,2.8,loftoke01
267,Kevon Looney,C,26,GSW,22,22,22.7,2.7,4.1,.659,0.0,0.0,,2.7,4.1,.659,.659,0.8,1.2,.630,2.3,4.5,6.8,3.0,0.4,0.5,0.5,3.0,6.2,looneke01
268,Brook Lopez,C,34,MIL,20,20,31.1,5.8,11.5,.502,2.4,5.9,.402,3.4,5.6,.607,.605,1.6,2.0,.800,1.6,4.2,5.8,1.1,0.7,2.9,1.3,2.2,15.5,lopezbr01
269,Robin Lopez,C,34,CLE,16,1,10.4,1.6,2.5,.650,0.0,0.0,,1.6,2.5,.650,.650,0.6,0.8,.750,1.1,0.6,1.6,0.5,0.1,0.1,0.7,1.4,3.8,lopezro01
